Factor,ShiftSize,"FMM retrain, recalibrated","FMM frozen policy, recalibrated","FMM retrain, fixed parameters","FMM swaption-only calibration, retrain, recalibrated","LGM grid, recalibrated"
IndexCurve/USD-SOFR/0/3M,0.0001,0.000000,0.000000,,,
IndexCurve/USD-SOFR/1/6M,0.0001,-0.010000,-0.010000,,,
IndexCurve/USD-SOFR/2/9M,0.0001,17.910000,0.180000,,,
IndexCurve/USD-SOFR/3/1Y,0.0001,-186.760000,-231.400000,-236.020000,-275.490000,-208.140000
IndexCurve/USD-SOFR/4/18M,0.0001,7.360000,3.940000,-3.340000,-5.010000,-3.480000
IndexCurve/USD-SOFR/5/2Y,0.0001,-402.840000,-382.270000,-359.250000,-380.770000,-287.240000
IndexCurve/USD-SOFR/6/3Y,0.0001,-227.100000,-297.590000,-241.600000,-131.410000,-247.360000
IndexCurve/USD-SOFR/7/4Y,0.0001,-433.540000,-398.100000,-256.790000,-165.400000,-215.030000
IndexCurve/USD-SOFR/8/5Y,0.0001,135.470000,114.260000,-185.670000,-96.100000,-145.800000
IndexCurve/USD-SOFR/9/6Y,0.0001,3007.440000,3036.900000,3150.110000,3145.980000,3099.900000
IndexCurve/USD-SOFR/10/7Y,0.0001,12.220000,19.120000,13.250000,18.470000,20.000000
SwaptionVolatility/USD-SOFR/4/1Y/5Y/ATM,0.0001,494.020000,577.060000,,536.270000,590.360000
SwaptionVolatility/USD-SOFR/8/2Y/4Y/ATM,0.0001,581.800000,537.110000,,819.740000,652.990000
SwaptionVolatility/USD-SOFR/9/2Y/5Y/ATM,0.0001,9.120000,2.930000,,5.480000,3.260000
SwaptionVolatility/USD-SOFR/12/3Y/3Y/ATM,0.0,238.590000,227.860000,,322.870000,529.460000
SwaptionVolatility/USD-SOFR/13/3Y/4Y/ATM,0.0,21.630000,2.920000,,-0.780000,3.600000
SwaptionVolatility/USD-SOFR/16/4Y/2Y/ATM,0.0001,-362.990000,-345.150000,,365.250000,460.720000
SwaptionVolatility/USD-SOFR/17/4Y/3Y/ATM,0.0001,-10.510000,4.020000,,9.830000,5.870000
SwaptionVolatility/USD-SOFR/20/5Y/1Y/ATM,0.0,1741.050000,1707.220000,,229.830000,273.600000
OptionletVolatility/USD-SOFR/0/1Y/0.03,0.0,0.000000,0.000000,,,
OptionletVolatility/USD-SOFR/1/1Y/0.04,0.0001,81.630000,36.000000,,,
OptionletVolatility/USD-SOFR/2/1Y/0.05,0.0001,-23.010000,1.940000,,,
OptionletVolatility/USD-SOFR/3/2Y/0.03,0.0001,0.320000,0.320000,,,
OptionletVolatility/USD-SOFR/4/2Y/0.04,0.0,178.660000,180.980000,,,
OptionletVolatility/USD-SOFR/5/2Y/0.05,0.0,0.940000,0.940000,,,
OptionletVolatility/USD-SOFR/6/3Y/0.03,0.0001,-18.530000,16.080000,,,
OptionletVolatility/USD-SOFR/7/3Y/0.04,0.0001,378.170000,406.370000,,,
OptionletVolatility/USD-SOFR/8/3Y/0.05,0.0001,-11.670000,11.460000,,,
OptionletVolatility/USD-SOFR/9/5Y/0.03,0.0,-70.990000,-48.870000,,,
OptionletVolatility/USD-SOFR/10/5Y/0.04,0.0,-341.800000,-275.530000,,,
OptionletVolatility/USD-SOFR/11/5Y/0.05,0.0001,-6.840000,6.070000,,,
OptionletVolatility/USD-SOFR/12/7Y/0.03,0.0001,19.950000,-17.510000,,,
OptionletVolatility/USD-SOFR/13/7Y/0.04,0.0001,-303.960000,-239.100000,,,
OptionletVolatility/USD-SOFR/14/7Y/0.05,0.0,0.020000,0.020000,,,
DiscountCurve/USD/5/2Y,0.0001,,,,,-5.900000
DiscountCurve/USD/6/3Y,0.0001,,,,,-14.780000
DiscountCurve/USD/7/4Y,0.0001,,,,,-21.860000
DiscountCurve/USD/8/5Y,0.0001,,,,,-33.700000
DiscountCurve/USD/9/6Y,0.0001,,,,,-33.120000
DiscountCurve/USD/10/7Y,0.0001,,,,,-0.210000
