#TradeId,ResultId,ResultType,ResultValue
FMM_CALLABLE_BOND_USD_4.5_2030,PricingConfigEngine,string,FD
FMM_CALLABLE_BOND_USD_4.5_2030,PricingConfigModel,string,LGM
FMM_CALLABLE_BOND_USD_4.5_2030,PricingConfigProductType,string,CallableBond
FMM_CALLABLE_BOND_USD_4.5_2030,isdaAssetClass,string,Credit
FMM_CALLABLE_BOND_USD_4.5_2030,isdaBaseProduct,string,
FMM_CALLABLE_BOND_USD_4.5_2030,isdaSubProduct,string,
FMM_CALLABLE_BOND_USD_4.5_2030,isdaTransaction,string,
FMM_CALLABLE_BOND_USD_4.5_2030,callPutValue,double,288502.064807144925
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[0],cashflows,226249.999999998952  @ 2025-08-11
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[1],cashflows,223750.000000000349  @ 2026-02-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[2],cashflows,224999.999999999651  @ 2026-08-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[3],cashflows,224999.999999999651  @ 2027-02-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[4],cashflows,224999.999999999651  @ 2027-08-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[5],cashflows,224999.999999999651  @ 2028-02-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[6],cashflows,224999.999999999651  @ 2028-08-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[7],cashflows,227500.000000000466  @ 2029-02-12
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[8],cashflows,222500.000000001019  @ 2029-08-10
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[9],cashflows,226249.999999998952  @ 2030-02-11
FMM_CALLABLE_BOND_USD_4.5_2030,cashFlowResults[10],cashflows,10000000.000000000000  @ 2030-02-11
FMM_CALLABLE_BOND_USD_4.5_2030,event_0000!,string,|time        |date        |notional    |accrual     |flow        |call        |put         |refDsc      |survProb    |secSprdDsc  |effDsc      |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00000,string,|0           |2025-02-10  |1e+07       |0           |            |            |            |1           |1           |1           |1           |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00001,string,|0.0415525   |            |1e+07       |18854.2     |            |            |            |0.99806     |1           |1           |0.99806     |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00002,string,|0.083105    |            |1e+07       |37708.3     |            |            |            |0.996117    |1           |1           |0.996117    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00003,string,|0.124658    |            |1e+07       |56562.5     |            |            |            |0.994495    |1           |1           |0.994495    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00004,string,|0.16621     |            |1e+07       |75416.7     |            |            |            |0.993124    |1           |1           |0.993124    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00005,string,|0.207763    |            |1e+07       |94270.8     |            |            |            |0.991648    |1           |1           |0.991648    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00006,string,|0.249315    |            |1e+07       |113125      |            |            |            |0.990131    |1           |1           |0.990131    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00007,string,|0.290868    |            |1e+07       |131979      |            |            |            |0.988437    |1           |1           |0.988437    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00008,string,|0.33242     |            |1e+07       |150833      |            |            |            |0.986484    |1           |1           |0.986484    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00009,string,|0.373973    |            |1e+07       |169687      |            |            |            |0.98452     |1           |1           |0.98452     |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00010,string,|0.415525    |            |1e+07       |188542      |            |            |            |0.982547    |1           |1           |0.982547    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00011,string,|0.457078    |            |1e+07       |207396      |            |            |            |0.98073     |1           |1           |0.98073     |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00012,string,|0.49863     |2025-08-11  |1e+07       |0           |226250      |            |            |0.978977    |1           |1           |0.978977    |
FMM_CALLABLE_BOND_USD_4.5_2030,event_00013,string,|0.540411    |            |1e+07       |18645.8     |            |            |            |0.977442    |1           |1           |0.977442    |
